"CUSTOMER_ID","BOOKING_ID","CUSTOMER_TYPE"
1,64,Contract
2,64,Contract
3,65,Transient
4,65,Transient
5,70,Transient
6,70,Transient
7,70,Transient
8,79,Transient
9,79,Transient
10,80,Transient
11,80,Transient
12,84,Transient
13,84,Transient
14,88,Transient
15,89,Transient
16,5,Transient
17,5,Transient
18,6,Transient
19,6,Transient
20,7,Transient
21,7,Transient
22,10,Transient
23,14,Transient
24,19,Transient
25,19,Transient
26,27,Contract
27,31,Transient
28,31,Transient
29,36,Transient
30,39,Transient
31,52,Contract
32,52,Contract
33,53,Contract
34,54,Transient
35,54,Transient
36,55,Transient
37,55,Transient
38,56,Transient
39,56,Transient
40,146,Transient
41,148,Transient
42,157,Transient
43,158,Contract
44,159,Contract
45,161,Transient
46,162,Transient
47,162,Contract
48,162,Transient
49,162,Transient
50,163,Transient
51,163,Transient
52,167,Transient
53,167,Transient
54,168,Transient
55,168,Contract
56,168,Transient
57,168,Transient
58,170,Transient
59,171,Transient
60,175,Transient
61,176,Transient
62,176,Transient
63,92,Transient
64,96,Transient
65,96,Transient
66,97,Transient
67,97,Transient
68,97,Transient
69,98,Transient
70,98,Transient
71,98,Transient
72,101,Transient
73,113,Transient
74,114,Transient
75,119,Transient
76,120,Transient
77,122,Transient
78,142,Transient
79,242,Transient
80,242,Transient
81,247,Transient
82,249,Transient
83,253,Transient
84,253,Transient
85,256,Transient
86,258,Transient
87,259,Transient
88,259,Transient
89,265,Transient
90,265,Transient
91,180,Transient
92,180,Transient
93,183,Contract
94,184,Transient
95,184,Contract
96,184,Transient
97,184,Transient
98,186,Transient
99,187,Transient
100,188,Transient
101,190,Transient
102,192,Transient
103,192,Contract
104,192,Transient
105,192,Transient
106,206,Transient
107,215,Transient
108,225,Transient
109,228,Transient
110,234,Transient
111,234,Transient
112,328,Contract
113,328,Contract
114,328,Transient
115,330,Transient
116,350,Transient
117,353,Transient
118,353,Transient
119,353,Transient
120,355,Transient
121,355,Transient
122,355,Transient
123,356,Transient
124,274,Transient
125,274,Transient
126,277,Transient
127,282,Transient
128,313,Transient
129,313,Transient
130,317,Contract
131,317,Contract
132,317,Transient
133,319,Contract
134,322,Transient
135,322,Transient
136,323,Contract
137,323,Contract
138,323,Transient
139,413,Transient
140,413,Transient
141,414,Transient-Party
142,414,Transient-Party
143,414,Transient-Party
144,414,Transient
145,414,Transient
146,414,Transient-Party
147,414,Transient-Party
148,414,Transient-Party
149,414,Transient
150,414,Transient
151,414,Transient-Party
152,414,Transient-Party
153,414,Transient-Party
154,414,Transient-Party
155,414,Transient-Party
156,414,Transient
157,414,Transient
158,414,Transient-Party
159,414,Transient-Party
160,414,Transient-Party
161,415,Transient-Party
162,415,Transient-Party
163,415,Transient-Party
164,415,Transient
165,415,Transient
166,415,Transient-Party
167,415,Transient-Party
168,415,Transient-Party
169,415,Transient
170,415,Transient
171,415,Transient-Party
172,415,Transient-Party
173,415,Transient-Party
174,415,Transient-Party
175,415,Transient-Party
176,415,Transient
177,415,Transient
178,415,Transient-Party
179,415,Transient-Party
180,415,Transient-Party
181,416,Transient-Party
182,416,Transient-Party
183,416,Transient-Party
184,416,Transient
185,416,Transient
186,416,Transient-Party
187,416,Transient-Party
188,416,Transient-Party
189,416,Transient
190,416,Transient
191,416,Transient-Party
192,416,Transient-Party
193,416,Transient-Party
194,416,Transient-Party
195,416,Transient-Party
196,416,Transient
197,416,Transient
198,416,Transient-Party
199,416,Transient-Party
200,416,Transient-Party
201,417,Transient-Party
202,417,Transient-Party
203,417,Transient-Party
204,417,Transient
205,417,Transient
206,417,Transient-Party
207,417,Transient-Party
208,417,Transient-Party
209,417,Transient
210,417,Transient
211,417,Transient-Party
212,417,Transient-Party
213,417,Transient-Party
214,417,Transient-Party
215,417,Transient-Party
216,417,Transient
217,417,Transient
218,417,Transient-Party
219,417,Transient-Party
220,417,Transient-Party
221,418,Transient-Party
222,418,Transient-Party
223,418,Transient-Party
224,418,Transient
225,418,Transient
226,418,Transient-Party
227,418,Transient-Party
228,418,Transient-Party
229,418,Transient
230,418,Transient
231,418,Transient-Party
232,418,Transient-Party
233,418,Transient-Party
234,418,Transient-Party
235,418,Transient-Party
236,418,Transient
237,418,Transient
238,418,Transient-Party
239,418,Transient-Party
240,418,Transient-Party
241,420,Transient-Party
242,420,Transient-Party
243,420,Transient-Party
244,420,Transient
245,420,Transient
246,420,Transient-Party
247,420,Transient-Party
248,420,Transient-Party
249,420,Transient
250,420,Transient
251,420,Transient-Party
252,420,Transient-Party
253,420,Transient-Party
254,420,Transient-Party
255,420,Transient-Party
256,420,Transient
257,420,Transient
258,420,Transient-Party
259,420,Transient-Party
260,420,Transient-Party
261,421,Transient-Party
262,421,Transient-Party
263,421,Transient-Party
264,421,Transient
265,421,Transient
266,421,Transient-Party
267,421,Transient-Party
268,421,Transient-Party
269,421,Transient
270,421,Transient
271,421,Transient-Party
272,421,Transient-Party
273,421,Transient-Party
274,421,Transient-Party
275,421,Transient-Party
276,421,Transient
277,421,Transient
278,421,Transient-Party
279,421,Transient-Party
280,421,Transient-Party
281,422,Transient-Party
282,422,Transient-Party
283,422,Transient-Party
284,422,Transient
285,422,Transient
286,422,Transient-Party
287,422,Transient-Party
288,422,Transient-Party
289,422,Transient
290,422,Transient
291,422,Transient-Party
292,422,Transient-Party
293,422,Transient-Party
294,422,Transient-Party
295,422,Transient-Party
296,422,Transient
297,422,Transient
298,422,Transient-Party
299,422,Transient-Party
300,422,Transient-Party
301,423,Transient-Party
302,423,Transient-Party
303,423,Transient-Party
