"GUEST_DETAILS_ID","BOOKING_ID","ADULTS","CHILDREN","BABIES","IS_REPEATED_GUEST","TOTAL_OF_SPECIAL_REQUESTS"
1,223,2,0,0,0,1
2,223,2,0,0,0,1
3,57,2,0,0,0,0
4,57,2,0,0,0,0
5,57,2,0,0,0,2
6,58,2,0,0,0,0
7,58,2,0,0,0,0
8,58,2,0,0,0,2
9,59,2,0,0,0,0
10,59,2,0,0,0,0
11,59,2,0,0,0,2
12,60,2,0,0,0,1
13,61,2,0,0,0,0
14,62,2,0,0,0,2
15,63,2,0,0,0,1
16,64,2,0,0,0,0
17,64,2,0,0,0,0
18,65,2,0,0,0,0
19,65,2,0,0,0,2
20,66,2,2,0,0,0
21,67,2,0,0,0,0
22,67,2,0,0,0,0
23,68,2,0,0,0,0
24,68,3,0,0,0,0
25,69,3,0,0,0,2
26,70,2,0,0,0,2
27,70,2,0,0,0,1
28,70,3,0,0,0,1
29,71,2,0,0,0,1
30,72,2,0,0,0,1
31,72,2,1,0,0,2
32,73,2,0,0,0,0
33,73,1,0,0,0,0
34,74,2,0,0,0,0
35,75,2,0,0,0,0
36,75,3,0,0,0,0
37,76,2,0,0,0,0
38,76,2,0,0,0,0
39,77,2,0,0,0,0
40,78,2,0,0,0,0
41,78,1,0,0,0,0
42,79,2,0,0,0,0
43,79,2,0,0,0,1
44,80,3,0,0,0,0
45,80,2,0,0,0,1
46,81,2,0,0,0,0
47,81,2,0,0,0,0
48,82,2,0,0,0,0
49,83,2,0,0,0,0
50,84,3,0,0,0,0
51,84,2,0,0,0,1
52,85,2,0,0,0,0
53,85,2,0,0,0,0
54,86,2,0,0,0,0
55,87,2,0,0,0,1
56,88,2,1,0,0,2
57,89,2,0,0,0,0
58,1,2,0,0,0,0
59,2,2,0,0,0,0
60,3,1,0,0,0,0
61,3,2,0,0,0,1
62,4,1,0,0,0,0
63,5,2,0,0,0,1
64,5,2,0,0,0,1
65,6,2,0,0,0,1
66,6,2,0,0,0,1
67,7,2,0,0,0,0
68,7,2,0,0,0,0
69,8,2,0,0,0,1
70,9,2,0,0,0,1
71,10,2,0,0,0,0
72,11,2,0,0,0,0
73,12,2,0,0,0,0
74,13,2,0,0,0,3
75,13,2,0,0,0,3
76,14,2,1,0,0,1
77,15,2,0,0,0,0
